Navn,Drengenavn,Pigenavn
Ace,Ja,Nej
Acelya,Ja,Ja
Acer,Ja,Nej
Acere,Ja,Nej
Acha,Ja,Nej
Achaemenes,Ja,Nej
Achal,Ja,Nej
Achille,Ja,Nej
Achilleas,Ja,Nej
Achilles,Ja,Nej
Achilleus,Ja,Nej
Achillus,Ja,Nej
Achim,Ja,Nej
Achindiba,Ja,Nej
Achmed,Ja,Nej
Achmet,Ja,Nej
Achraf,Ja,Nej
Achton,Ja,Nej
Achyutah,Ja,Nej
Aci,Ja,Nej
Aciano,Ja,Nej
Acksel,Ja,Nej
Aco,Ja,Nej
Acton,Ja,Nej
Ada,Ja,Ja
Adahan,Ja,Nej
Adair,Ja,Nej
Adal,Ja,Nej
Aðalgeir,Ja,Nej
Adam,Ja,Nej
Ádám,Ja,Nej
Adama,Ja,Ja
Adamangelo,Ja,Nej
Adamartur,Ja,Nej
Adamas,Ja,Nej
Adamisak,Ja,Nej
Adamm,Ja,Nej
Adamos,Ja,Nej
Adams,Ja,Nej
Adamsejr,Ja,Nej
Adan,Ja,Ja
Adar,Ja,Ja
Adarsha,Ja,Nej
Adas,Ja,Nej
Adbiel,Ja,Nej
Addin,Ja,Nej
Addis,Ja,Ja
Addison,Ja,Ja
Addiz,Ja,Nej
Addo,Ja,Nej
Adduha,Ja,Nej
Adeayo,Ja,Nej
Adebayo,Ja,Nej
Adeeb,Ja,Nej
Adeel,Ja,Nej
Adeem,Ja,Nej
Adeen,Ja,Nej
Adefolahan,Ja,Nej
Adekanye,Ja,Nej
Adel,Ja,Ja
Adelbert,Ja,Nej
Adeleye,Ja,Nej
Adelhart,Ja,Nej
Adem,Ja,Nej
Ademir,Ja,Nej
Aden,Ja,Ja
Adeola,Ja,Ja
Adeon,Ja,Nej
Adérito,Ja,Nej
Aderomoluwa,Ja,Nej
Adeseyi,Ja,Nej
Adeshina,Ja,Nej
Adetokunbo,Ja,Nej
Adeyemi,Ja,Nej
Adham,Ja,Nej
Adhemar,Ja,Nej
Adhiraj,Ja,Nej
Adhiran,Ja,Nej
Adhirath,Ja,Nej
Adhis,Ja,Nej
Adhish,Ja,Nej
Adhrit,Ja,Nej
Adhvan,Ja,Nej
Adhvik,Ja,Ja
Adhyan,Ja,Nej
Adhyay,Ja,Nej
Adhyayan,Ja,Nej
Adi,Ja,Ja
Adian,Ja,Ja
Adib,Ja,Nej
Adiel,Ja,Nej
Adiem,Ja,Nej
Adijan,Ja,Nej
Adil,Ja,Nej
Adilon,Ja,Nej
Adils,Ja,Nej
Adim,Ja,Nej
Adin,Ja,Nej
Adinani,Ja,Nej
Adindu,Ja,Nej
Adirake,Ja,Nej
Adis,Ja,Nej
Adison,Ja,Nej
Adisorn,Ja,Nej
Adita,Ja,Ja
Adith,Ja,Nej
Adithya,Ja,Nej
Adithyan,Ja,Nej
Aditva,Ja,Nej
Aditya,Ja,Nej
Adiva,Ja,Nej
Adjé,Ja,Nej
Adjin,Ja,Nej
Adlan,Ja,Nej
Adlar,Ja,Nej
Adler,Ja,Nej
Admas,Ja,Nej
Admasu,Ja,Nej
Admer,Ja,Nej
Admir,Ja,Nej
Admon,Ja,Nej
Adnaan,Ja,Nej
Adnan,Ja,Nej
Adnit,Ja,Nej
Adolf,Ja,Nej
Adolfe,Ja,Nej
Adolff,Ja,Nej
Adolph,Ja,Nej
Adolphus,Ja,Nej
Adom,Ja,Nej
Adomas,Ja,Nej
Adonai,Ja,Nej
Adonay,Ja,Nej
Adoni,Ja,Nej
Adonias,Ja,Nej
Adonis,Ja,Nej
Ador,Ja,Nej
Adorjan,Ja,Nej
Adrean,Ja,Nej
Adrian,Ja,Nej
Adrián,Ja,Nej
Adrianlee,Ja,Nej
Adrianlucaeh,Ja,Nej
Adriano,Ja,Nej
Adrians,Ja,Nej
Adrianus,Ja,Nej
Adriatik,Ja,Nej
Adriel,Ja,Nej
Adrien,Ja,Nej
Adriis,Ja,Nej
